"","X","AllScores","AllAiScores","AllScores_flat","filename","orig","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore","max_kaiscore","min_kaiscore","true_range"
"72",71,-15.9977427888404,80,-15.9977427888404,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"73",72,-15.804851930979,80,-15.804851930979,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"74",73,-14.4992207613713,80,-14.4992207613713,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"75",74,-15.1834820254945,80,-15.1834820254945,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"76",75,-14.8213784988654,80,-14.8213784988654,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"77",76,-15.2606745565689,80,-15.2606745565689,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"78",77,-14.2015588738775,80,-14.2015588738775,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"79",78,-16.2269614193297,80,-16.2269614193297,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"80",79,-15.718591814909,80,-15.718591814909,"results/rawdata/Beam_ai107.csv",1,"107","80",80,107,-15.4821737922499,0.60813941571354,-14.2015588738775,107,147,67,80
"81",0,-15.1301325429521,0,-15.1301325429521,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"82",1,-15.8728444604131,0,-15.8728444604131,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"83",2,-15.0639670520665,0,-15.0639670520665,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"84",3,-15.3341882389714,0,-15.3341882389714,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"85",4,-15.9240513223446,0,-15.9240513223446,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"86",5,-15.6773215761476,0,-15.6773215761476,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"87",6,-14.6907956314098,0,-14.6907956314098,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"88",7,-16.8018787116729,0,-16.8018787116729,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"89",8,-15.2548626546467,0,-15.2548626546467,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"90",9,-15.3790818644994,0,-15.3790818644994,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"91",10,-11.5665450607975,0,-11.5665450607975,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"92",11,-15.2121836724043,0,-15.2121836724043,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"93",12,-16.7654138320676,0,-16.7654138320676,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"94",13,-15.5344945805191,0,-15.5344945805191,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"95",14,-16.1103729456039,0,-16.1103729456039,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"96",15,-15.056426352234,0,-15.056426352234,"results/rawdata/Beam_ai120.csv",1,"120","0",0,120,-15.443902959172,0.939421519340474,-11.5665450607975,120,120,120,0
"97",16,-15.1278673160731,20,-15.1278673160731,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"98",17,-14.4765033910711,20,-14.4765033910711,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"99",18,-16.174658569601,20,-16.174658569601,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"100",19,-15.051521337006,20,-15.051521337006,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"101",20,-15.2625682274624,20,-15.2625682274624,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"102",21,-15.0618121911957,20,-15.0618121911957,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"103",22,-14.9675186630917,20,-14.9675186630917,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"104",23,-14.0842522239947,20,-14.0842522239947,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"105",24,-14.9050393880232,20,-14.9050393880232,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"106",25,-14.0867872813714,20,-14.0867872813714,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"107",26,-13.3906812849762,20,-13.3906812849762,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"108",27,-15.072308503418,20,-15.072308503418,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"109",28,-16.7511292180176,20,-16.7511292180176,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"110",29,-14.8220096662246,20,-14.8220096662246,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"111",30,-16.4924666400336,20,-16.4924666400336,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"112",31,-15.9300896555764,20,-15.9300896555764,"results/rawdata/Beam_ai120.csv",1,"120","20",20,120,-15.3035013632876,0.764325538695824,-13.3906812849762,120,130,110,20
"113",32,-15.2462038918787,40,-15.2462038918787,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"114",33,-15.989504470346,40,-15.989504470346,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"115",34,-15.8205133607643,40,-15.8205133607643,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"116",35,-15.5962494682732,40,-15.5962494682732,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"117",36,-14.4939845721416,40,-14.4939845721416,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
